,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
0,1,15,['000'],0,S,0,0,2,"(1, 2)"
1,2,15,['000'],0,A,0,0,1,"(1, 2)"
2,3,15,['100'],4,B,0,0,1,"(1, 2)"
3,4,15,['000'],0,S,0,0,1,"(1, 2)"
4,5,15,['000'],0,A,0,0,1,"(1, 2)"
5,6,15,['000'],0,B,0,0,2,"(0, 1)"
6,7,15,['000'],0,S,0,0,1,"(1, 2)"
7,8,15,['000'],0,A,0,0,1,"(0, 1)"
8,9,15,['000'],0,B,0,0,2,"(0, 2)"
9,10,15,['000'],0,S,0,0,2,"(0, 1)"
10,11,15,['000'],0,A,0,0,2,"(0, 2)"
11,12,15,['000'],0,B,0,0,2,"(0, 1)"
12,13,15,['000'],0,S,0,0,2,"(0, 2)"
13,14,15,['000'],0,A,0,0,1,"(0, 2)"
14,15,15,['000'],0,B,0,0,1,"(1, 2)"
15,16,15,['000'],0,S,0,0,2,"(0, 1)"
16,17,15,['000'],0,A,0,0,1,"(0, 1)"
17,18,15,['000'],0,B,0,0,1,"(0, 1)"
18,19,15,['000'],0,S,0,0,2,"(0, 2)"
19,20,15,['000'],0,A,0,0,2,"(0, 1)"
